mindex,n,predictors,rsquare,adjr,predrsq,cp,aic,sbic,sbc,msep,fpe,apc,hsp
85,4,mpg accelrate mpg_rec I(factor(same_mpg)),0.6302642704886399,0.6193091377623774,0.5963562224290375,69.06042143502023,3068.093748087718,2667.6479422837624,3085.7436026233736,25694370725.693703,190054789.68956068,0.3971235613270165,1369411.7630745494
86,4,mpg accelrate mpg2 mpg_rec,0.6298268596599234,0.61885876661281,0.5839792826793373,69.29591716062848,3068.259275291538,2667.8041713169782,3085.9091298271937,25724768101.698807,190279631.42495248,0.3975933729578601,1371031.827045463
87,4,accelrate mpgmpge mpg_rec I(factor(same_mpg)),0.629198907006687,0.6182122079550333,0.5961906707280723,69.63399787562903,3068.49656665349,2668.028147649269,3086.1464211891457,25768406968.550438,190602417.13355452,0.3982678406224473,1373357.6118732698
88,4,mpg accelrate mpgmpge mpg2,0.6244154534264021,0.6132870224168141,0.5878174647347751,72.20934077490682,3070.2910617096773,2669.7224955234415,3087.940916245333,26100827721.620262,193061249.73107576,0.4034056240975681,1391074.367593958
89,4,mpg accelrate mpg2 I(factor(same_mpg)),0.6223372392579939,0.6111472315323048,0.5835604358571029,73.32822151911375,3071.063585471802,2670.4522028801302,3088.713440007458,26245250889.3813,194129511.53317067,0.4056377800562288,1398771.5704911936
90,4,mpg accelrate mpgmpge I(factor(same_mpg)),0.5457926493838372,0.5323346538100249,0.4557871438682425,114.53873244013701,3096.900891111878,2694.957664767522,3114.550745647534,31564631496.36787,233475630.31274495,0.4878523395506934,1682274.2276780384
91,4,mpg mpgmpge carclass_id I(factor(same_mpg)),0.53095199321430675,0.4984794388983742,0.465297663018835,122.52872917478629,3111.4020744973786,2699.2460765494334,3143.760141146081,32595966287.669804,250377390.73880005,0.5037923035846336,1804057.3702229543
92,4,accelrate mpgmpge mpg2 I(factor(same_mpg)),0.5244088146995831,0.5103172240240152,0.21226507629291846,126.05148277608646,3103.341565575617,2701.0955828562633,3120.991420111273,33050677155.629185,244467535.8260242,0.5108201619893367,1761474.7820711983
93,4,mpgmpge carclass_id mpg2 I(factor(same_mpg)),0.49227380013905175,0.45712352476406304,0.053416023337701124,143.3525143796425,3122.4952828522232,2709.838108040404,3154.8533495009256,35283864028.00715,271023774.308443,0.5453355479987964,1952821.8426753485
94,4,mpg mpgmpge mpg2 I(factor(same_mpg)),0.4091213088204707,0.391613792044781,0.3500884684632941,188.12062480035866,3133.728860313701,2730.1999069709696,3151.3787148493566,41062453350.51676,303728626.748035,0.6346474831187537,2188471.8345200666
95,4,mpg mpgmpge mpg2 mpg_rec,0.40107114496613144,0.3833251048169798,0.33057107485758386,192.45471772555027,3135.6233518073095,2732.0219290648633,3153.2732063429653,41621890478.081726,307866642.2985607,0.6432939554067477,2218287.6954090837
96,4,mpg mpg2 mpg_rec I(factor(same_mpg)),0.4008993212867555,0.3831481900656224,0.32902560665879566,192.5472251336774,3135.663509941312,2732.0605601270686,3153.3133644769678,41633831172.38026,307954964.6072827,0.6434785067660774,2218924.088781244
97,4,mpgmpge mpg2 mpg_rec I(factor(same_mpg)),0.3932337434535465,0.37525548400031816,0.2986627739934259,196.67426245311123,3137.4434664546525,2733.7732077901737,3155.0933209903083,42166541924.82344,311895291.8914888,0.6517119051795243,2247315.5360169034
98,4,mpg mpgmpge mpg_rec I(factor(same_mpg)),0.3916145729184224,0.37358833804193115,0.3318193763384957,197.5460006795547,3137.816562278214,2734.1322880891794,3155.4664168138697,42279064369.036736,312727592.0750044,0.6534510142728056,2253312.5522645707
